Iterasi,Waktu Key A (ms),Waktu Key B (ms),Waktu Shared Secret (ms),Memori (MB),Shared Secret
1,22.14539999840781,0.09220000356435776,1.043199998093769,0.16796875,f5d0f5e3153a2f2532dbcdc00f5602e2e3132e7c618d2ba53083dfcdf3462192
2,0.21130000823177397,0.08159999561030418,0.6995999865466729,0.0,c5a3a42b4b099d145a46ddde07690a6f5791be8fd6cc20d346270975490041c0
3,0.185500000952743,0.079699995694682,0.8871999889379367,0.0,b8dda1d65f21ea03c2ae613e0038b3247fadef1aa51d8d129c6fc8e625d69ebe
4,0.1947999990079552,0.09049999061971903,0.7292999944183975,0.00390625,18d25e6718f84a6536c10df602e693f7da4d6feac513b2f40130bea454f04129
5,0.12140000762883574,0.049000009312294424,0.29599999834317714,0.0,1d17686aba925623048f3ac0b7a0558291f6bed4078d09f3a67213a6672c0aef
6,0.1630000042496249,0.05889999738428742,0.6311000033747405,0.0,6b3fb8fcf27076db146e9c0898064fe6f984bff9368fdc9c1e06fb3902cff994
7,0.1564999984111637,0.0695999915478751,0.46039999870117754,0.0,d188b6d5c7fc9a11e20c1ac2e2298465f5a9893bce371e0c1ded311a465924a5
8,0.14790000568609685,0.05539999983739108,0.3922000032616779,0.0,2496009c7bd84c475cd8e249d00465155118a753a050180b729b94a191c0efc8
9,0.1762000028975308,0.07320000440813601,0.5134999955771491,0.0,d07df9adb82bcff26edfdeed4ac45eaa5e6a5089df1de1734a64aa27d18263a9
10,0.11549999180715531,0.037999998312443495,0.49679999938234687,0.0,5a116aff9f0461bfaebc6148b193087ccd2bd70d1d37f0762804f1913cb8c9e1
